property_title,location,number_of_rooms,price,size
2-BEDROOM APARTMENT,Al Ansab,2,OMR300,
2-BEDROOM APARTMENT,Shatti Al Qurum,2,OMR500,
4+1 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,"OMR1,500",
COMMERCIAL SHOP,Ghala,39,OMR370,
COMMERCIAL OFFICE SPACE,Bausher,2,OMR4,
"2, 3 & 4-BEDROOM COMPOUND VILLAS",Rusayl,"2,3,4",OMR650,
COMMERCIAL SPACE,Shatti Al Qurum,,OMR6,
6+1 BEDROOM TWIN VILLA,Bausher,6,"OMR1,000",
5+1 BEDROOM TWIN VILLA,Al Ansab,5,OMR750,
RETAIL SPACES,Al Khuwair,,OMR7,
Showroom- Fitted for Medical or Healthcare Use,,10,OMR7,
COMMERCIAL SPACE,Azaiba,OUTSIDE,"OMR2,200",
2-BEDROOM APARTMENT,Maabelah,2,OMR180,
3-BEDROOM APARTMENT,Al Khuwair,3,OMR280,
1 & 2-BEDROOM APARTMENT,Al Ghoubrah,1,OMR250,
4-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,OMR800,
4-BEDROOM TWIN VILLA,,4,OMR700,
4-BEDROOM VILLA,,4,OMR600,
3-BEDROOM APARTMENT,Darsait,3,OMR400,
2+1 BEDROOM APARTMENT,Al Ghoubrah,2,OMR550,
5-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),5,"OMR1,800",
7-BEDROOM TWIN VILLA,Al Mawaleh,7,OMR675,
5-BEDROOM COMPOUND VILLA,Madinat Al llam,5,OMR900,
OFFICE SPACE,Muscat Hills,51.63,OMR6,
3-BEDROOM TOWNHOUSE,The Wave Muscat,3,"OMR1,100",
5-BEDROOM DETACHED VILLA,Muscat Hills,5,"OMR2,500",
5-BEDROOM TWIN VILLA,Al Ansab,5,OMR700,
2-BEDROOM APARTMENT,Al Ghoubrah,2,OMR600,
2-BEDROOM APARTMENT,Muscat Hills,2,OMR450,
2-BEDROOM APARTMENT,Al Mawaleh,2,OMR275,
4-BEDROOM TWIN VILLA,Al Mawaleh,4,OMR560,
3-BEDROOM TWIN VILLA,Al Mawaleh,3,OMR560,
1-BEDROOM APARTMENT,Muscat Hills,1,OMR375,
6+2 BEDROOM STANDALONE VILLA,Qurum,6,"OMR1,300",
6-BEDROOM APARTMENT,Al Khuwair,6,OMR550,
4+1 BEDROOM COMPOUND VILLA,Shatti Al Qurum,4,OMR700,
4+1 TWIN VILLA,Shatti Al Qurum,4,"OMR1,000",
4-BEDROOM TOWNHOUSE,Al Hail,4,OMR450,
3+1 TOWNHOUSE,Maabelah,4,OMR600,
2-BEDROOM TOWNHOUSE,Al Ansab,200,OMR650,
2-BEDROOM APARTMENT,Al Ansab,2,OMR400,
6-BEDROOM TWIN VILLA,Shatti Al Qurum,6,OMR700,
6 BEDROOM DETACHED VILLA,Madinat Al llam,6,OMR850,
4 BEDROOM TWIN-VILLA,Al Mawaleh,4,OMR700,
Office Space,Bausher,55,OMR400,
2 + 1 FULLY FURNISHED APARTMENT,Qurum,2,OMR500,
5 BEDROOM TOWNHOUSE,Qurum,5,OMR850,
5 BEDROOM TOWNHOUSE,Qurum,5,OMR950,
2 BEDROOM APARTMENT,Shatti Al Qurum,2,OMR450,
3 BEDROOM APARTMENT,Azaiba,3,OMR330,
1 & 2 BEDROOM APARTMENT,Azaiba,2,OMR280,
3BEDROOM FURNISHED TWIN VILLA IN (AL KHOUD),Al Khoudh,3,OMR400,
COMMERCIAL OFFICE SPACE IN (BAUSHER),Bausher,415,"OMR1,600",
3 BEDROOM APARTMENT IN (DARSIT),Darsait,3,OMR450,
2 BEDROOM APARTMENT IN (DARSIT),Darsait,2,OMR400,
3+1 BEDROOM TOWNHOUSE IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),3,OMR650,
FURNISHED 2 BEDROOM APARTMENT IN ( MUSCAT HILLS),Muscat Hills,2,OMR475,
3 BEDROOM APARTMENT IN (AL KHUWAIR),Al Khuwair,3,OMR360,
2 BEDROOM APARTMENT IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),2,OMR300,
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,3,OMR550,
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,3,OMR450,
3 BEDROOM TOWNHOUSE,Qurum,3,OMR650,
5+1 BEDROOM VILLA IN ( QURUM),Qurum,5,"OMR2,500",
3+1 BEDROOM VILLA IN ( SHATTI QURUM),Shatti Al Qurum,3,"OMR2,500",
3+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,3,"OMR1,000",
2 SPACIOUS SHOWROOM IN ( MAABELLAH),Maabelah,2,"OMR3,000",
5 BEDROOM TWIN VILLA,Azaiba,5,OMR700,
COMMERCIAL SPACE FOR RENT IN (RUWI),Ruwi,,"OMR11,000",
4+1  BEDROOM TWIN-VILLA,Maabelah,5,OMR450,
4+1 BEDROOM TWIN-VILLA IN ( QURUM),Qurum,4,"OMR1,350",
2 BEDROOM PENTHOUSE  IN ( MUSCAT HILLS),Muscat Hills,2,OMR650,
2 BEDROOM PENTHOUSE FURNISHED IN ( MUSCAT HILLS),Muscat Hills,2,OMR750,
2 BEDROOM PENTHOUSE FURNISHED IN ( MUSCAT HILLS),Muscat Hills,2,OMR750,
FURNISHED 2 BEDROOM APARTMENT IN ( MUSCAT HILLS),Muscat Hills,2,OMR450,
2 BEDROOM APARTMENT IN (QURUM),Qurum,2,OMR350,
5 BEDROOM TOWNHOUSE,Madinat Qaboos (MQ),5,"OMR1,100",
FULLY FURNISHED STUDIO APARTMENT IN (SALALAH),Salalah,1,OMR400,
FURNISHED 4+1 BEDROOM TOWNHOUSE IN ( MUSCAT BAY),MUSCAT BAY,4,"OMR1,400",
4+1 TOWNHOUSE IN (MADINAT AL SULTAN QABOOS),Madinat Qaboos (MQ),4,OMR850,
2 BEDROOM APARTMENT IN (AL KHUWAIR),Al Khuwair,2,OMR260,
COMMERCIAL OFFICE SPACE IN (ALKHUWAIR),Al Khuwair,84,OMR315,
COMMERCIAL OFFICE SPACE IN (ALKHUWAIR),Al Khuwair,143,OMR515,
2 BEDROOM APARTMENT IN (GHUBRA),Al Ghoubrah,2,OMR210,
COMMERCIAL SPACE IN (SHATTI AL QURUM),Shatti Al Qurum,1400,"OMR11,900",
PEARL BUILDING COMMERCIAL SPACE,Muscat Hills,97,"OMR1,200",
7+1 BEDROOM COMMERCIAL VILLA IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),7,"OMR1,800",
6+2 BHK COMMERCIAL VILLA IN (AZAIBA),Azaiba,6,"OMR3,000",
6+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,6,"OMR1,800",
4+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,4,"OMR1,200",
5+1 BEDROOM TOWNHOUSE IN ( QURUM),Qurum,5,"OMR1,750",
5+1  BEDROOM TOWNHOUSE IN (QURUM),Qurum,5,"OMR1,500",
2 BHK FULLY FURNISHED DUPLEX APARTMENT IN ( AL MOUJ),Al Mouj,2,"OMR2,300",
2-BEDROOM APARTMENT,Al Mawaleh,2,OMR250,
1-BEDROOM APARTMENT,Al Mawaleh,1,OMR220,
5+1 BEDROOM VILLA IN (AL ANSAB),Al Ansab,5,OMR750,
FURNISHED 5 BEDROOM TWIN VILLA,Al Ansab,5,OMR850,
4 + 1 BEDROOM DETACHED VILLA,Al Ghoubrah,5,OMR900,
7+1 BEDROOM FURNISHED  VILLA IN ( AL KHUWAIR),Al Khuwair,7,OMR950,
3 BEDROOM TOWNHOUSE,Qurum,4,OMR750,
5+3 BEDROOM VILLA IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),5,"OMR2,100",
"SHOP FOR RENT IN (RUWI, WALJA)",Ruwi,1,OMR400,
2 BEDROOM APARTMENT IN (RUWI CBD),,2,OMR140,
2 BHK FULL FURNISHED APARTMENT IN (QURUM),Shatti Al Qurum,2,OMR450,
OFFICE SPACE IN (RUWI),Ruwi,350,"OMR1,500",
2 BEDROOM APARTMENTS IN (RUWI),Ruwi,2,OMR225,
1 BEDROOM APARTMENTS IN RUWI (WALJA),Ruwi,1,OMR150,
FURNISHED 2 BEDROOM TWIN-VILLA IN (MUTRAH),Mutrah,2,OMR380,
5000 SQM WAREHOUSE IN (GHALA),Ghala,5000,"OMR7,500",
NEW COMMERCIAL SHOPS IN (MABELLAH),Maabelah,47.5,OMR550,
4 BEDROOM TWIN VILLA IN (SHATTI ALQURUM),Shatti Al Qurum,4,"OMR1,500",
2 BEDROOM APARTMENT IN (BOUSHAR),Bausher,120,OMR220,
4 BEDROOM DETACHED VILLA,Azaiba,4,OMR750,
COMMERCIAL SHOPS IN (MABELLAH),Maabelah,350,OMR350,
8 BEDROOM TWIN VILLA,Al Khoudh,4,OMR600,
1 BEDROOM FURNISHED PENTHOUSE IN (ALKHUWAIR),Al Khuwair,1,OMR320,
5 + 1 BEDROOM TWIN VILLA IN (ALKHOUDH),Al Khoudh,5,OMR500,
6 BEDROOM DETACHED VILLA,Al Awabi,6,OMR600,
COMMERCIAL SPACES,Seeb,32,OMR135,
4 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,OMR680,
NEW FURNISHED 1 BEDROOM APARTMENT IN (MUSCAT BAY),MUSCAT BAY,1,OMR500,
3+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,4,OMR550,
4 BEDROOM TOWNHOUSE IN (ALSEEB),Seeb,4,OMR550,
6 BEDROOM TWIN-VILLA IN (SHATTI AL QURUM),Shatti Al Qurum,6,"OMR1,000",
5 + 1 BEDROOM VILLA IN (SHATTI AL QURUM),Shatti Al Qurum,5,OMR750,
2 BEDROOM APARTMENT IN,Al Hail,2,OMR180,
2 BEDROOM APARTMENT (SHATTI AL QURUM),Muscat,2,OMR550,+-130
2 BEDROOM APARTMENT IN (AL MAWALLEH),Al Mawaleh,2,OMR200,+-85
2 BEDROOM APARTMENT IN (GHALA),Ghala,2,OMR210,
3 BEDROOM TWIN-VILLA IN (BOSHER),Bausher,3,OMR600,+-300
OFFICE SPACE,Ghala,+-155.3,OMR-550,
COMMERCIAL SHOWROOM,Bausher,OUTSIDE,"OMR3,000",
3+1 STANDALONE VILLA,Madinat Qaboos (MQ),3,OMR750,
2+1 BEDROOM APARTMENT,Al Mouj,2,OMR700,
OFFICE SPACE,Al Khuwair,,OMR350,
1-BEDROOM APARTMENT,Azaiba,1,"OMR33,000",
2-BEDROOM APARTMENT,Al Khuwair,2,OMR250,
3+1 BEDROOM VILLA,,3,OMR600,
5-BEDROOM STANDALONE VILLA,Shatti Al Qurum,5,"OMR1,700",
5-BEDROOM DETACHED VILLA,Shatti Al Qurum,5,"OMR5,000",
OFFICE SPACE,Al Ghoubrah,OUTSIDE,OMR650,
COMMERCIAL SHOWROOM,Azaiba,,"OMR1,350",
2-BEDROOM APARTMENT,Qurum,2,OMR500,
4-BEDROOM VILLA,Qurum,4,OMR550,
5-BEDROOM DETACHED VILLA,Shatti Al Qurum,5,"OMR2,000",
2-BEDROOM COMPOUND VILLA,Shatti Al Qurum,2,OMR375,
FURNISHED STUDIO APARTMENT,Salalah,1,OMR300,
3+1 BEDROOM COMPOUND VILLA,Shatti Al Qurum,3,OMR550,
4+1 TOWNHOUSE,Qurum,4,OMR750,
6+1 BEDROOM VILLA,Shatti Al Qurum,6,"OMR1,000",
2-3 BEDROOM APARTMENT,Ruwi,2,OMR180,
2-BEDROOM APARTMENT,Ruwi,2,OMR200,
2-3 BEDROOM APARTMENT,Ruwi,2,OMR200,
2-BEDROOM APARTMENT,Ruwi,2,OMR200,
2-3 BEDROOM APARTMENT,Ruwi,OUTSIDE,OMR200,
COMMERCIAL OFFICE SPACE,Shatti Al Qurum,OUTSIDE,OMR6,
2 BEDROOM APARTMENT,Al Khuwair,2,OMR400,
75 & 55 SQM OFFICES,Ghala,75,OMR7,
COMMERCIAL OFFICES,Ghala,7,OMR150,
COMMERCIAL SHOPS,Ghala,5+,OMR250,
8 BEDROOM DETACHED VILLA,Ruwi,8,"OMR2,800",
TWO FLOORS SHOWROOM,Ruwi,OUTSIDE,"OMR4,500",
SHOP AVAILABLE,Shatti Al Qurum,UNSHADED,"OMR1,700",
OFFICE SPACE,Shatti Al Qurum,OUTSIDE,OMR600,
2 BEDROOM APARTMENT,Shatti Al Qurum,2,OMR500,
4 BEDROOM APARTMENT,Mutrah,4,OMR200,
3 BEDROOM TOWNHOUSE,Qurum,3,"OMR145,000",
2 COMMERCIAL SHOPS,Al Ghoubrah,OUTSIDE,OMR7,
5 BEDROOM DETACHED VILLA,Al Hail,5,OMR900,
2 BEDROOM APARTMENT IN (SEEB),Seeb,2,OMR350,
4 BEDROOM RENOVATED DETACHED VILLA,Azaiba,4,OMR-950,+-340
6 BEDROOM DETACHED VILLA IN (SHATTI AL QURUM),Shatti Al Qurum,6,OMR-950,+-350
2 BEDROOM APARTMENT IN (BOSHER),Bausher,2,OMR475,
4 BEDROOM DETACHED VILLA IN (NIZWA),Nizwa,4,OMR-600,+-400
